theme	title	topic (SK)	subtopic (SP)
SAINS FIZIKAL	5.0 Sifat Cahaya	5.2 Litar Bersiri dan Litar Selari	5.2.5 Mengeksperimen untuk membezakan kecerahan mentol dalam litar bersiri atau selari dengan mengubah bilangan sel kering.
SAINS FIZIKAL	5.0 Sifat Cahaya	5.2 Litar Bersiri dan Litar Selari	5.2.6 Menyatakan keadaan mentol apabila beberapa suis ditutup atau dibuka dalam litar bersiri dan litar selari dengan menjalankan aktiviti.
SAINS FIZIKAL	5.0 Sifat Cahaya	5.2 Litar Bersiri dan Litar Selari	5.2.7 Menjelaskan pemerhatian tentang litar bersiri dan litar selari melalui lakaran, TMK, penulisan atau lisan secara kreatif.
SAINS FIZIKAL	5.0 Sifat Cahaya	5.3 Keselamatan Pengendalian Peralatan dan Penjimatan Elektrik	5.3.1 Menjana idea faktor yang mempengaruhi penggunaan tenaga elektrik dengan menjalankan aktiviti.
SAINS FIZIKAL	5.0 Sifat Cahaya	5.3 Keselamatan Pengendalian Peralatan dan Penjimatan Elektrik	5.3.2 Menjelas dengan contoh kesan kecuaian pengendalian peralatan elektrik.
SAINS FIZIKAL	5.0 Sifat Cahaya	5.3 Keselamatan Pengendalian Peralatan dan Penjimatan Elektrik	5.3.3 Memerihalkan langkah keselamatan ketika mengendalikan peralatan elektrik.
SAINS FIZIKAL	5.0 Sifat Cahaya	5.3 Keselamatan Pengendalian Peralatan dan Penjimatan Elektrik	5.3.4 Menjelaskan pemerhatian tentang keselamatan pengendalian peralatan dan penjimatan elektrik melalui lakaran, TMK, penulisan atau lisan secara kreatif.
SAINS FIZIKAL	6.0 Bunyi	6.1 Haba dan Suhu	6.1.1 Menyatakan maksud haba dan suhu.
SAINS FIZIKAL	6.0 Bunyi	6.1 Haba dan Suhu	6.1.2 Menyukat suhu dengan menggunakan alat dan unit piawai dengan teknik yang betul.
SAINS FIZIKAL	6.0 Bunyi	6.1 Haba dan Suhu	6.1.3 Menggunakan perhubungan ruang dan masa untuk melihat perubahan suhu apabila ais dipanaskan dan menentukan takat beku dan takat didih air dengan menjalankan aktiviti.
SAINS FIZIKAL	6.0 Bunyi	6.1 Haba dan Suhu	6.1.4 Memerihalkan perubahan suhu air apabila air panas disejukkan ke suhu bilik.
SAINS FIZIKAL	6.0 Bunyi	6.1 Haba dan Suhu	6.1.5 Membuat kesimpulan tentang kesan ke atas bahan apabila menerima haba dan apabila kehilangan haba dengan menjalankan aktiviti.
SAINS FIZIKAL	6.0 Bunyi	6.1 Haba dan Suhu	6.1.6 Menaakul kepentingan aplikasi prinsip pengembangan dan pengecutan bahan dalam kehidupan harian.
SAINS FIZIKAL	6.0 Bunyi	6.1 Haba dan Suhu	6.1.7 Menjelaskan pemerhatian tentang haba dan suhu air melalui lakaran, TMK, penulisan atau lisan secara kreatif.
SAINS FIZIKAL	7.0 Tenaga	7.1 Pengaratan Bahan	7.1.1 Menyatakan ciri objek yang berkarat.
SAINS FIZIKAL	7.0 Tenaga	7.1 Pengaratan Bahan	7.1.2 Mengitlak bahawa objek yang diperbuat daripada besi boleh berkarat.
SAINS FIZIKAL	7.0 Tenaga	7.1 Pengaratan Bahan	7.1.3 Mengeksperimen untuk menentukan faktor yang menyebabkan pengaratan.
SAINS FIZIKAL	7.0 Tenaga	7.1 Pengaratan Bahan	7.1.4 Memerihalkan cara mencegah pengaratan.
SAINS FIZIKAL	7.0 Tenaga	7.1 Pengaratan Bahan	7.1.5 Menaakul kepentingan mencegah pengaratan.
SAINS FIZIKAL	7.0 Tenaga	7.1 Pengaratan Bahan	7.1.6 Menjelaskan pemerhatian tentang pengaratan bahan melalui lakaran, TMK, penulisan atau lisan secara kreatif.
SAINS BAHAN	8.0 Bahan	8.1 Keadaan Jirim	8.1.1 Menyatakan jirim wujud dalam keadaan pepejal, cecair dan gas.
SAINS BAHAN	8.0 Bahan	8.1 Keadaan Jirim	8.1.2 Mengelas bahan atau objek berdasarkan keadaan jirim.
SAINS BAHAN	8.0 Bahan	8.1 Keadaan Jirim	8.1.3 Mencirikan sifat pepejal, cecair dan gas dengan menjalankan aktiviti.
SAINS BAHAN	8.0 Bahan	8.1 Keadaan Jirim	8.1.4 Mengitlak bahawa air boleh wujud dalam tiga keadaan jirim dengan menjalankan aktiviti.
SAINS BAHAN	8.0 Bahan	8.1 Keadaan Jirim	8.1.5 Menjelaskan pemerhatian tentang keadaan jirim melalui lakaran, TMK, penulisan atau lisan secara kreatif.
SAINS BAHAN	8.0 Bahan	8.2 Perubahan Keadaan Jirim Bagi Air	8.2.1 Memerihalkan perubahan keadaan jirim bagi air dengan menjalankan aktiviti.
SAINS BAHAN	8.0 Bahan	8.2 Perubahan Keadaan Jirim Bagi Air	8.2.2 Menjelas dengan contoh perubahan keadaan jirim berlaku apabila jirim menerima atau kehilangan haba dengan menjalankan aktiviti.
SAINS BAHAN	8.0 Bahan	8.2 Perubahan Keadaan Jirim Bagi Air	8.2.3 Menghubung kait perubahan keadaan jirim bagi air dengan pembentukan awan dan hujan.
SAINS BAHAN	8.0 Bahan	8.2 Perubahan Keadaan Jirim Bagi Air	8.2.4 Menjelaskan pemerhatian tentang perubahan keadaan jirim bagi air melalui lakaran, TMK, penulisan atau lisan secara kreatif.
BUMI DAN SAINS ANGKASA	9.0 Bumi	9.1 Fasa Bulan	9.1.1 Menyatakan Bulan tidak mengeluarkan cahaya tetapi memantulkan cahaya Matahari.
BUMI DAN SAINS ANGKASA	9.0 Bumi	9.1 Fasa Bulan	9.1.2 Memerihalkan Bulan berputar pada paksinya dan pada masa yang sama beredar mengelilingi Bumi dari aspek arah dan tempoh dengan menjalankan simulasi.
BUMI DAN SAINS ANGKASA	9.0 Bumi	9.1 Fasa Bulan	9.1.3 Menggunakan perhubungan ruang dan masa untuk menggambarkan fasa Bulan dalam satu edaran lengkap mengikut takwim Qamari.
BUMI DAN SAINS ANGKASA	9.0 Bumi	9.1 Fasa Bulan	9.1.4 Menjelaskan pemerhatian tentang fasa bulan melalui lakaran, TMK, penulisan atau lisan secara kreatif.
BUMI DAN SAINS ANGKASA	9.0 Bumi	9.2 Buruj	9.2.1 Mengenal pasti buruj dan corak buruj.
BUMI DAN SAINS ANGKASA	9.0 Bumi	9.2 Buruj	9.2.2 Menyatakan kegunaan buruj.
BUMI DAN SAINS ANGKASA	9.0 Bumi	9.2 Buruj	9.2.3 Menjelaskan pemerhatian tentang buruj melalui lakaran, TMK, penulisan atau lisan secara kreatif.
TEKNOLOGI DAN KEHIDUPAN LESTARI	10.0 Mesin	10.1 Penggunaan Alat dalam Kehidupan	10.1.1 Menyatakan kegunaan suatu alat yang terdapat di persekitaran murid.
TEKNOLOGI DAN KEHIDUPAN LESTARI	10.0 Mesin	10.1 Penggunaan Alat dalam Kehidupan	10.1.2 Menerangkan kombinasi fungsi mesin ringkas pada suatu alat yang membolehkan alat tersebut berfungsi melalui pemerhatian alat sebenar.
TEKNOLOGI DAN KEHIDUPAN LESTARI	10.0 Mesin	10.1 Penggunaan Alat dalam Kehidupan	10.1.3 Menaakul kepentingan kombinasi mesin ringkas untuk memastikan alat itu berfungsi dengan sempurna.
TEKNOLOGI DAN KEHIDUPAN LESTARI	10.0 Mesin	10.1 Penggunaan Alat dalam Kehidupan	10.1.4 Menjana idea tentang kepentingan ciri penciptaan alat yang lestari.
TEKNOLOGI DAN KEHIDUPAN LESTARI	10.0 Mesin	10.1 Penggunaan Alat dalam Kehidupan	10.1.5 Menjelaskan pemerhatian tentang penggunaan alat dalam kehidupan melalui lakaran, TMK, penulisan atau lisan secara kreatif.
